time,theta
1.545,0.00770355,-0.00221885
1.55,0.00769245,-0.00222004
1.555,0.00768135,-0.0022212
1.56,0.00767025,-0.00222234
1.565,0.00765913,-0.00222346
1.57,0.00764802,-0.00222455
1.575,0.00763689,-0.00222562
1.58,0.00762577,-0.00222666
1.585,0.00761463,-0.00222768
1.59,0.00760349,-0.00222868
1.595,0.00759235,-0.00222966
1.6,0.0075812,-0.00223062
1.605,0.00757005,-0.00223155
1.61,0.00755889,-0.00223246
1.615,0.00754773,-0.00223334
1.62,0.00753656,-0.00223421
1.625,0.00752539,-0.00223505
1.63,0.00751422,-0.00223587
1.635,0.00750304,-0.00223667
1.64,0.00749185,-0.00223744
1.645,0.00748067,-0.0022382
1.65,0.00746948,-0.00223893
1.655,0.00745828,-0.00223964
1.66,0.00744708,-0.00224033
1.665,0.00743588,-0.002241
1.67,0.00742468,-0.00224165
1.675,0.00741347,-0.00224228
1.68,0.00740226,-0.00224288
1.685,0.00739104,-0.00224347
1.69,0.00737982,-0.00224403
1.695,0.0073686,-0.00224457
1.7,0.00735738,-0.0022451
1.705,0.00734616,-0.0022456
1.71,0.00733493,-0.00224608
1.715,0.0073237,-0.00224654
1.72,0.00731246,-0.00224698
1.725,0.00730123,-0.0022474
1.73,0.00728999,-0.0022478
1.735,0.00727875,-0.00224818
1.74,0.00726751,-0.00224854
1.745,0.00725627,-0.00224888
1.75,0.00724503,-0.00224921
1.755,0.00723378,-0.00224951
1.76,0.00722253,-0.00224979
1.765,0.00721128,-0.00225005
1.77,0.00720003,-0.0022503
1.775,0.00718878,-0.00225052
1.78,0.00717753,-0.00225073
1.785,0.00716628,-0.00225091
1.79,0.00715502,-0.00225108
1.795,0.00714377,-0.00225123
1.8,0.00713251,-0.00225136
1.805,0.00712125,-0.00225147
1.81,0.00711,-0.00225156
1.815,0.00709874,-0.00225164
1.82,0.00708748,-0.00225169
1.825,0.00707622,-0.00225173
1.83,0.00706496,-0.00225175
1.835,0.0070537,-0.00225175
1.84,0.00704244,-0.00225174
1.845,0.00703119,-0.0022517
1.85,0.00701993,-0.00225165
1.855,0.00700867,-0.00225158
1.86,0.00699741,-0.00225149
1.865,0.00698615,-0.00225139
1.87,0.0069749,-0.00225127
1.875,0.00696364,-0.00225113
1.88,0.00695238,-0.00225097
1.885,0.00694113,-0.00225079
1.89,0.00692988,-0.0022506
1.895,0.00691862,-0.0022504
1.9,0.00690737,-0.00225017
1.905,0.00689612,-0.00224993
1.91,0.00688487,-0.00224967
1.915,0.00687362,-0.00224939
1.92,0.00686238,-0.0022491
1.925,0.00685113,-0.00224879
1.93,0.00683989,-0.00224847
1.935,0.00682864,-0.00224813
1.94,0.0068174,-0.00224777
1.945,0.00680616,-0.0022474
1.95,0.00679493,-0.00224701
1.955,0.00678369,-0.0022466
1.96,0.00677246,-0.00224618
1.965,0.00676123,-0.00224574
1.97,0.00675,-0.00224529
1.975,0.00673877,-0.00224482
1.98,0.00672755,-0.00224434
1.985,0.00671633,-0.00224384
1.99,0.00670511,-0.00224332
1.995,0.00669389,-0.00224279
2,0.00668268,-0.00224224
2.005,0.00667147,-0.00224168
2.01,0.00666026,-0.00224111
2.015,0.00664905,-0.00224052
2.02,0.00663785,-0.00223991
2.025,0.00662665,-0.00223929
2.03,0.00661545,-0.00223865
2.035,0.00660426,-0.002238
2.04,0.00659307,-0.00223734
2.045,0.00658188,-0.00223666
2.05,0.0065707,-0.00223596
2.055,0.00655952,-0.00223526
2.06,0.00654834,-0.00223453
2.065,0.00653717,-0.0022338
2.07,0.006526,-0.00223304
2.075,0.00651484,-0.00223228
2.08,0.00650368,-0.0022315
2.085,0.00649252,-0.00223071
2.09,0.00648136,-0.0022299
2.095,0.00647022,-0.00222908
2.1,0.00645907,-0.00222825
2.105,0.00644793,-0.0022274
2.11,0.00643679,-0.00222654
2.115,0.00642566,-0.00222566
2.12,0.00641453,-0.00222477
2.125,0.00640341,-0.00222387
2.13,0.00639229,-0.00222296
2.135,0.00638117,-0.00222203
2.14,0.00637006,-0.00222109
2.145,0.00635896,-0.00222013
2.15,0.00634786,-0.00221917
2.155,0.00633676,-0.00221819
2.16,0.00632567,-0.00221719
2.165,0.00631458,-0.00221619
2.17,0.0063035,-0.00221517
2.175,0.00629243,-0.00221414
2.18,0.00628136,-0.0022131
2.185,0.00627029,-0.00221204
2.19,0.00625923,-0.00221097
2.195,0.00624818,-0.00220989
2.2,0.00623713,-0.0022088
2.205,0.00622608,-0.00220769
2.21,0.00621504,-0.00220658
2.215,0.00620401,-0.00220545
2.22,0.00619298,-0.00220431
2.225,0.00618196,-0.00220315
2.23,0.00617095,-0.00220199
2.235,0.00615994,-0.00220081
2.24,0.00614893,-0.00219963
2.245,0.00613793,-0.00219843
2.25,0.00612694,-0.00219721
2.255,0.00611596,-0.00219599
2.26,0.00610498,-0.00219476
2.265,0.006094,-0.00219351
2.27,0.00608303,-0.00219226
2.275,0.00607207,-0.00219099
2.28,0.00606112,-0.00218971
2.285,0.00605017,-0.00218842
2.29,0.00603923,-0.00218712
2.295,0.00602829,-0.00218581
